service_date,recorded_appointments,attended_appointments,dna_appointments,unknown_status_appointments
2026-03-01,4385,3426,220,739
2026-03-02,1711462,1536151,72926,102385
2026-03-03,1617513,1448522,67199,101792
2026-03-04,1519019,1362931,61976,94112
2026-03-05,1496758,1342056,62622,92080
2026-03-06,1416661,1273580,57168,85913
2026-03-07,58534,50068,4669,3797
2026-03-08,4676,3764,183,729
2026-03-09,1700224,1530584,68559,101081
2026-03-10,1599824,1434100,65110,100614
2026-03-11,1495275,1341188,61002,93085
2026-03-12,1480623,1327424,60880,92319
2026-03-13,1405622,1265630,55014,84978
2026-03-14,58688,49477,5307,3904
2026-03-15,4114,3367,180,567
2026-03-16,1681989,1513243,67496,101250
2026-03-17,1584704,1419496,63828,101380
2026-03-18,1466084,1312617,60132,93335
2026-03-19,1419653,1269827,59200,90626
2026-03-20,1311932,1172930,54015,84987
2026-03-21,56994,48451,4803,3740
2026-03-22,4467,3550,226,691
2026-03-23,1694492,1518066,73562,102864
2026-03-24,1613277,1444432,66592,102253
2026-03-25,1489400,1333235,61904,94261
2026-03-26,1470332,1316783,61542,92007
2026-03-27,1390114,1247511,56175,86428
2026-03-28,57527,48437,4678,4412
2026-03-29,4759,3194,210,1355
2026-03-30,1621145,1453097,69605,98443
2026-03-31,1559842,1392938,66626,100278
2026-04-01,1478439,1322009,62847,93583
2026-04-02,1444037,1288733,61261,94043
2026-04-03,4128,2499,135,1494
2026-04-04,33541,28264,2902,2375
2026-04-05,2773,2023,98,652
2026-04-06,4854,3350,169,1335
2026-04-07,1608470,1430896,70034,107540
2026-04-08,1456279,1302038,60351,93890
2026-04-09,1435813,1288478,58382,88953
2026-04-10,1328508,1192454,52363,83691
2026-04-11,54389,46444,3941,4004
2026-04-12,4164,3379,128,657
2026-04-13,1685776,1516174,68769,100833
2026-04-14,1599129,1434117,64157,100855
2026-04-15,1498411,1345413,59152,93846
2026-04-16,1500683,1348594,59951,92138
2026-04-17,1418146,1279890,55015,83241
2026-04-18,121858,102348,10701,8809
2026-04-19,6326,5434,321,571
2026-04-20,1714180,1545647,68813,99720
2026-04-21,1602109,1437586,64754,99769
2026-04-22,1542954,1386150,61483,95321
2026-04-23,1499759,1346571,61519,91669
2026-04-24,1415406,1275900,55843,83663
2026-04-25,103447,86886,7049,9512
2026-04-26,5418,4053,199,1166
2026-04-27,1722684,1554059,68989,99636
2026-04-28,1634628,1468152,65071,101405
2026-04-29,1541697,1385899,61338,94460
2026-04-30,1535379,1375793,63816,95770
