service_date,scheduled_appointments,completed_appointments,no_show_appointments,cancelled_appointments,available_slots
2024-01-01,54,47,4,3,60
2024-01-02,83,69,8,6,88
2024-01-03,91,76,9,6,94
2024-01-04,87,72,10,5,92
2024-01-05,79,66,8,5,84
2024-01-06,33,27,3,3,40
2024-01-07,29,24,2,3,36
2024-01-08,57,49,5,3,60
2024-01-09,86,72,8,6,88
2024-01-10,93,77,10,6,96
2024-01-11,89,74,9,6,92
2024-01-12,81,68,8,5,84
2024-01-13,35,29,3,3,40
2024-01-14,31,25,3,3,36
2024-01-15,55,48,4,3,60
2024-01-16,84,70,8,6,88
2024-01-17,92,76,10,6,96
2024-01-18,88,73,9,6,92
2024-01-19,80,67,8,5,84
2024-01-20,34,28,3,3,40
2024-01-21,30,25,2,3,36
2024-01-22,58,50,5,3,60
2024-01-23,87,72,9,6,88
2024-01-24,94,78,10,6,96
2024-01-25,90,75,9,6,92
2024-01-26,82,69,8,5,84
2024-01-27,36,30,3,3,40
2024-01-28,32,26,3,3,36
2024-01-29,61,52,6,3,64
2024-01-30,91,75,10,6,94
2024-01-31,98,81,11,6,100
2024-02-01,93,77,10,6,96
2024-02-02,86,72,9,5,88
2024-02-03,39,32,4,3,40
2024-02-04,35,29,3,3,36
2024-02-05,64,54,7,3,66
2024-02-06,94,78,10,6,96
2024-02-07,101,83,12,6,104
2024-02-08,96,79,11,6,98
2024-02-09,88,73,10,5,90
2024-02-10,41,34,4,3,42
2024-02-11,37,30,4,3,38
